AREA_CODE,AREA_NAME,2018,2019,2020,2021,2022,2023,2024,2025
E07000223,Adur,63869,64083.669,64298.169,64522.607,64749.507000000005,64978.705,65198.185999999994,65410.665
E07000026,Allerdale,97527,97768.244,97960.314,98132.195,98288.988,98443.74,98562.582,98658.278
E07000032,Amber Valley,126678,127623.646,128575.291,129533.206,130470.052,131375.68300000002,132248.154,133083.33800000002
E07000224,Arun,159827,161437.78699999998,162919.395,164365.58,165783.429,167166.536,168529.185,169847.04
E07000170,Ashfield,127151,128524.237,129825.3,131092.52800000002,132316.539,133472.079,134576.25199999998,135627.406
E07000105,Ashford,129281,130884.941,132419.51,133894.229,135338.645,136700.27300000002,138011.309,139266.668
E07000004,Aylesbury Vale,199448,202482.615,205426.044,208256.735,210911.802,213343.534,215645.049,217763.753
E07000200,Babergh,91401,91979.084,92537.605,93091.81,93626.589,94127.058,94619.446,95094.917
E09000002,Barking and Dagenham,211998,213423.294,214681.387,215836.155,216826.434,217667.37,218299.497,218783.028
E09000003,Barnet,392140,395978.585,399641.401,403014.949,406061.106,408820.639,411198.215,413257.39700000006
E08000016,Barnsley,245199,246999.146,248707.355,250358.592,251942.538,253424.42899999995,254832.013,256163.928
E07000027,Barrow-in-Furness,67137,66934.25200000001,66720.378,66503.833,66290.366,66076.39,65848.193,65617.413
E07000066,Basildon,185862,186927.931,187964.409,188976.501,189939.613,190853.594,191722.912,192536.738
E07000084,Basingstoke and Deane,175729,176167.663,176562.767,176918.174,177211.93,177447.117,177640.47,177749.625
E07000171,Bassetlaw,116839,117732.387,118633.47,119532.718,120386.943,121185.015,121950.888,122678.413
E06000022,Bath and North East Somerset,192106,194096.745,195690.535,197095.376,198503.753,200005.997,201504.89399999997,203102.48899999997
E06000055,Bedford,171623,173199.89,174719.815,176211.47199999998,177638.958,178997.255,180266.964,181440.792
E09000004,Bexley,247258,248428.44600000005,249590.212,250759.372,251931.17,253077.911,254156.343,255181.757
E08000025,Birmingham,1141374,1147619.9109999998,1152784.829,1157284.932,1161476.955,1165531.437,1169458.248,1173363.471
E07000129,Blaby,100421,102094.694,103702.584,105285.454,106809.751,108233.331,109624.603,110933.531
E06000008,Blackburn with Darwen,148942,149084.37099999998,149189.667,149252.573,149272.201,149282.615,149259.932,149211.65300000002
E06000009,Blackpool,139305,139240.899,139172.87900000002,139103.76,139047.022,138983.536,138918.75,138878.473
E07000033,Bolsover,79530,80247.7,80937.567,81601.027,82236.461,82851.53,83431.254,83981.383
E08000001,Bolton,285372,286194.86699999997,286952.13800000004,287706.385,288417.544,289038.901,289581.024,290051.51399999997
E07000136,Boston,69366,70319.898,71201.81599999999,72033.717,72796.898,73516.606,74158.772,74744.681
E06000028,Bournemouth,194355,194720.453,194881.88600000003,194926.13,194987.49,195131.928,195349.233,195665.846
E06000036,Bracknell Forest,121676,122451.108,123205.736,123932.587,124589.874,125182.915,125714.918,126164.548
E08000032,Bradford,537173,539152.869,540908.7660000001,542499.636,543919.918,545205.119,546349.6020000001,547332.649
E07000067,Braintree,151561,151969.94199999998,152369.80599999998,152817.981,153266.068,153699.053,154093.92,154464.103
E07000143,Breckland,139329,140705.982,142019.274,143321.905,144592.1,145807.486,146977.303,148092.828
E09000005,Brent,330795,333311.812,335438.751,337289.458,338873.083,340152.30700000003,341165.45700000005,341951.91
E07000068,Brentwood,76550,76455.3,76382.96,76348.82,76332.356,76286.516,76272.465,76282.445
E06000043,Brighton and Hove,290395,292527.404,293917.066,294841.583,295570.814,296289.288,297035.971,297844.422
E06000023,"Bristol, City of",463405,467788.213,471344.311,474310.83700000006,476997.24,479616.021,482281.64700000006,484965.01
E07000144,Broadland,129464,130578.963,131670.751,132780.91,133881.579,134949.19,135974.546,136967.103
E09000006,Bromley,331096,332838.42,334612.41,336487.631,338249.835,339883.135,341419.409,342801.874
E07000234,Bromsgrove,98662,99599.058,100511.458,101447.381,102393.141,103281.094,104114.94,104936.736
E07000095,Broxbourne,96876,96925.815,96975.522,97016.226,97054.793,97086.328,97097.021,97086.739
E07000172,Broxtowe,113272,114214.727,115011.958,115762.388,116466.704,117123.189,117744.308,118321.727
E10000002,Buckinghamshire,540059,542931.108,545925.413,548849.368,551560.444,553909.8459999999,556041.202,557873.8400000001
E07000117,Burnley,88527,88927.99900000001,89277.50300000001,89621.24,89934.474,90211.267,90452.946,90665.487
E08000002,Bury,190108,191013.764,191841.277,192643.157,193416.578,194147.985,194807.072,195421.603
E08000033,Calderdale,210082,210514.187,210958.346,211386.838,211795.271,212128.207,212409.587,212644.983
E07000008,Cambridge,125758,125625.079,125472.72,125293.814,125131.21,125076.905,125089.826,125220.346
E10000003,Cambridgeshire,651482,654781.213,657832.5900000001,660674.4739999999,663320.023,665885.236,668273.873,670547.452
E09000007,Camden,262226,267423.613,271802.77,275540.516,278797.79,281647.564,284110.73600000003,286257.895
E07000192,Cannock Chase,100109,100872.018,101593.956,102308.576,103007.908,103675.474,104319.537,104937.046
E07000106,Canterbury,164553,165428.91199999998,166305.231,166983.149,167602.729,168350.013,169196.43399999998,170150.7
